êºóÔ,îNóÓ,èoê∂ó¶
2024,17,0.00123
2025,17,0.00122
2026,17,0.00121
2027,17,0.0012
2028,17,0.00121
2029,17,0.00122
2030,17,0.00123
2031,17,0.00124
2032,17,0.00125
2033,17,0.00124
2034,17,0.00123
2035,17,0.00122
2036,17,0.00121
2037,17,0.0012
2038,17,0.0012
2039,17,0.0012
2040,17,0.0012
2041,17,0.0012
2042,17,0.0012
2043,17,0.0012
2044,17,0.0012
2045,17,0.0012
2046,17,0.0012
2047,17,0.0012
2048,17,0.0012
2049,17,0.0012
2050,17,0.0012
2051,17,0.0012
2052,17,0.0012
2053,17,0.0012
2054,17,0.0012
2055,17,0.0012
2056,17,0.0012
2057,17,0.0012
2058,17,0.0012
2059,17,0.0012
2060,17,0.0012
2061,17,0.0012
2062,17,0.0012
2015,18,0.00295
2016,18,0.00295
2017,18,0.00295
2018,18,0.00294
2019,18,0.00293
2020,18,0.00292
2021,18,0.00291
2022,18,0.0029
2023,18,0.00291
2024,18,0.00292
2025,18,0.00293
2026,18,0.00294
2027,18,0.00295
2028,18,0.00295
2029,18,0.00295
2030,18,0.00295
2031,18,0.00295
2032,18,0.00295
2033,18,0.00295
2034,18,0.00295
2035,18,0.00295
2036,18,0.00295
2037,18,0.00295
2038,18,0.00295
2039,18,0.00295
2040,18,0.00295
2041,18,0.00295
2042,18,0.00295
2043,18,0.00295
2044,18,0.00295
2045,18,0.00295
2046,18,0.00295
2047,18,0.00295
2048,18,0.00295
2049,18,0.00295
2050,18,0.00295
2051,18,0.00295
2052,18,0.00295
2053,18,0.00295
2054,18,0.00295
2055,18,0.00295
2056,18,0.00295
2057,18,0.00295
2058,18,0.00295
2059,18,0.00295
2060,18,0.00295
2061,18,0.00295
2062,18,0.00295
2015,19,0.00545
2016,19,0.00545
2017,19,0.00545
2018,19,0.00545
2019,19,0.00545
2020,19,0.00545
2021,19,0.00545
2022,19,0.00545
2023,19,0.00544
2024,19,0.00543
2025,19,0.00542
2026,19,0.00541
2027,19,0.0054
2028,19,0.0054
2029,19,0.0054
2030,19,0.0054
2031,19,0.0054
2032,19,0.0054
2033,19,0.00541
2034,19,0.00542
2035,19,0.00543
2036,19,0.00544
2037,19,0.00545
2038,19,0.00545
2039,19,0.00545
2040,19,0.00545
2041,19,0.00545
2042,19,0.00545
2043,19,0.00545
2044,19,0.00545
2045,19,0.00545
2046,19,0.00545
2047,19,0.00545
2048,19,0.00545
2049,19,0.00545
2050,19,0.00545
2051,19,0.00545
2052,19,0.00545
2053,19,0.00545
2054,19,0.00545
2055,19,0.00545
2056,19,0.00545
2057,19,0.00545
2058,19,0.00545
2059,19,0.00545
2060,19,0.00545
2061,19,0.00545
2062,19,0.00545
2015,20,0.00835
2016,20,0.00835
2017,20,0.00835
2018,20,0.00834
2019,20,0.00833
2020,20,0.00832
2021,20,0.00831
2022,20,0.0083
2023,20,0.0083
2024,20,0.0083
2025,20,0.0083
2026,20,0.0083
2027,20,0.0083
2028,20,0.00832
2029,20,0.00834
2030,20,0.00836
2031,20,0.00838
2032,20,0.0084
2033,20,0.00839
2034,20,0.00838
2035,20,0.008369999999999999
2036,20,0.00836
2037,20,0.00835
2038,20,0.00835
2039,20,0.00835
2040,20,0.00835
2041,20,0.00835
2042,20,0.00835
2043,20,0.00835
2044,20,0.00835
2045,20,0.00835
2046,20,0.00835
2047,20,0.00835
2048,20,0.00835
2049,20,0.00835
2050,20,0.00835
2051,20,0.00835
2052,20,0.00835
2053,20,0.00835
2054,20,0.00835
2055,20,0.00835
2056,20,0.00835
2057,20,0.00835
2058,20,0.00835
2059,20,0.00835
2060,20,0.00835
2061,20,0.00835
2062,20,0.00835
2015,21,0.0113
2016,21,0.0113
2017,21,0.0113
2018,21,0.011269999999999999
2019,21,0.01124
2020,21,0.01121
2021,21,0.01118
2022,21,0.01115
2023,21,0.01115
2024,21,0.01115
2025,21,0.01115
2026,21,0.01115
2027,21,0.01115
2028,21,0.01114
2029,21,0.011130000000000001
2030,21,0.01112
2031,21,0.01111
2032,21,0.0111
2033,21,0.01108
2034,21,0.01106
2035,21,0.01104
2036,21,0.01102
2037,21,0.011
2038,21,0.01104
2039,21,0.01108
2040,21,0.01112
2041,21,0.01116
2042,21,0.0112
2043,21,0.0112
2044,21,0.0112
2045,21,0.0112
2046,21,0.0112
2047,21,0.0112
2048,21,0.0112
2049,21,0.0112
2050,21,0.0112
2051,21,0.0112
2052,21,0.0112
2053,21,0.0112
2054,21,0.0112
2055,21,0.0112
2056,21,0.0112
2057,21,0.0112
2058,21,0.0112
2059,21,0.0112
2060,21,0.0112
2061,21,0.0112
2062,21,0.0112
2015,22,0.0143
2016,22,0.0143
2017,22,0.0143
2018,22,0.01429
2019,22,0.014280000000000001
2020,22,0.01427
2021,22,0.01426
2022,22,0.01425
2023,22,0.0143
2024,22,0.01435
2025,22,0.014400000000000001
2026,22,0.014450000000000001
2027,22,0.0145
2028,22,0.01447
2029,22,0.01444
2030,22,0.014410000000000001
2031,22,0.01438
2032,22,0.01435
2033,22,0.014369999999999999
2034,22,0.01439
2035,22,0.01441
2036,22,0.01443
2037,22,0.01445
2038,22,0.01444
2039,22,0.01443
2040,22,0.014419999999999999
2041,22,0.01441
2042,22,0.0144
2043,22,0.0144
2044,22,0.0144
2045,22,0.0144
2046,22,0.0144
2047,22,0.0144
2048,22,0.0144
2049,22,0.0144
2050,22,0.0144
2051,22,0.0144
2052,22,0.0144
2053,22,0.0144
2054,22,0.0144
2055,22,0.0144
2056,22,0.0144
2057,22,0.0144
2058,22,0.0144
2059,22,0.0144
2060,22,0.0144
2061,22,0.0144
2062,22,0.0144
2015,23,0.01785
2016,23,0.01785
2017,23,0.01785
2018,23,0.01787
2019,23,0.01789
2020,23,0.017910000000000002
2021,23,0.01793
2022,23,0.01795
2023,23,0.01794
2024,23,0.01793
2025,23,0.01792
2026,23,0.01791
2027,23,0.0179
2028,23,0.01792
2029,23,0.017939999999999998
2030,23,0.01796
2031,23,0.01798
2032,23,0.018
2033,23,0.01804
2034,23,0.01808
2035,23,0.01812
2036,23,0.01816
2037,23,0.0182
2038,23,0.01818
2039,23,0.018160000000000003
2040,23,0.01814
2041,23,0.01812
2042,23,0.0181
2043,23,0.018090000000000002
2044,23,0.018080000000000002
2045,23,0.01807
2046,23,0.01806
2047,23,0.01805
2048,23,0.01804
2049,23,0.01803
2050,23,0.018019999999999998
2051,23,0.018009999999999998
2052,23,0.018
2053,23,0.018009999999999998
2054,23,0.018019999999999998
2055,23,0.01803
2056,23,0.01804
2057,23,0.01805
2058,23,0.01805
2059,23,0.01805
2060,23,0.01805
2061,23,0.01805
2062,23,0.01805
2015,24,0.02255
2016,24,0.02255
2017,24,0.02255
2018,24,0.0225
2019,24,0.02245
2020,24,0.0224
2021,24,0.022350000000000002
2022,24,0.0223
2023,24,0.02236
2024,24,0.02242
2025,24,0.02248
2026,24,0.022539999999999998
2027,24,0.0226
2028,24,0.022539999999999998
2029,24,0.02248
2030,24,0.02242
2031,24,0.02236
2032,24,0.0223
2033,24,0.02232
2034,24,0.02234
2035,24,0.02236
2036,24,0.02238
2037,24,0.0224
2038,24,0.02245
2039,24,0.0225
2040,24,0.02255
2041,24,0.0226
2042,24,0.02265
2043,24,0.02264
2044,24,0.02263
2045,24,0.022619999999999998
2046,24,0.022609999999999998
2047,24,0.0226
2048,24,0.02259
2049,24,0.02258
2050,24,0.02257
2051,24,0.02256
2052,24,0.02255
2053,24,0.02256
2054,24,0.02257
2055,24,0.02258
2056,24,0.02259
2057,24,0.0226
2058,24,0.0226
2059,24,0.0226
2060,24,0.0226
2061,24,0.0226
2062,24,0.0226
2015,25,0.0284
2016,25,0.0284
2017,25,0.0284
2018,25,0.028380000000000002
2019,25,0.02836
2020,25,0.02834
2021,25,0.028319999999999998
2022,25,0.0283
2023,25,0.028329999999999998
2024,25,0.02836
2025,25,0.02839
2026,25,0.02842
2027,25,0.02845
2028,25,0.02845
2029,25,0.02845
2030,25,0.02845
2031,25,0.02845
2032,25,0.02845
2033,25,0.02852
2034,25,0.02859
2035,25,0.028659999999999998
2036,25,0.02873
2037,25,0.0288
2038,25,0.02879
2039,25,0.02878
2040,25,0.02877
2041,25,0.02876
2042,25,0.02875
2043,25,0.02875
2044,25,0.02875
2045,25,0.02875
2046,25,0.02875
2047,25,0.02875
2048,25,0.02874
2049,25,0.028730000000000002
2050,25,0.02872
2051,25,0.02871
2052,25,0.0287
2053,25,0.0287
2054,25,0.0287
2055,25,0.0287
2056,25,0.0287
2057,25,0.0287
2058,25,0.02871
2059,25,0.02872
2060,25,0.028730000000000002
2061,25,0.02874
2062,25,0.02875
2015,26,0.03605
2016,26,0.03605
2017,26,0.03605
2018,26,0.036
2019,26,0.035949999999999996
2020,26,0.0359
2021,26,0.03585
2022,26,0.0358
2023,26,0.0358
2024,26,0.0358
2025,26,0.0358
2026,26,0.0358
2027,26,0.0358
2028,26,0.03578
2029,26,0.03576
2030,26,0.03574
2031,26,0.03572
2032,26,0.0357
2033,26,0.03568
2034,26,0.035660000000000004
2035,26,0.03564
2036,26,0.03562
2037,26,0.0356
2038,26,0.03553
2039,26,0.03546
2040,26,0.03539
2041,26,0.03532
2042,26,0.03525
2043,26,0.035399999999999994
2044,26,0.03555
2045,26,0.035699999999999996
2046,26,0.03585
2047,26,0.036
2048,26,0.03598
2049,26,0.03596
2050,26,0.03594
2051,26,0.03592
2052,26,0.0359
2053,26,0.035910000000000004
2054,26,0.03592
2055,26,0.035930000000000004
2056,26,0.03594
2057,26,0.03595
2058,26,0.03596
2059,26,0.03597
2060,26,0.03598
2061,26,0.03599
2062,26,0.036
2015,27,0.0433
2016,27,0.0433
2017,27,0.0433
2018,27,0.04316
2019,27,0.043019999999999996
2020,27,0.04288
2021,27,0.04274
2022,27,0.0426
2023,27,0.04263
2024,27,0.042660000000000003
2025,27,0.04269
2026,27,0.04272
2027,27,0.04275
2028,27,0.042890000000000005
2029,27,0.043030000000000006
2030,27,0.04317
2031,27,0.04331
2032,27,0.04345
2033,27,0.04338
2034,27,0.04331
2035,27,0.04324
2036,27,0.04317
2037,27,0.0431
2038,27,0.04315
2039,27,0.0432
2040,27,0.04325
2041,27,0.0433
2042,27,0.04335
2043,27,0.04335
2044,27,0.04335
2045,27,0.04335
2046,27,0.04335
2047,27,0.04335
2048,27,0.04333
2049,27,0.04331
2050,27,0.043289999999999995
2051,27,0.043269999999999996
2052,27,0.04325
2053,27,0.04324
2054,27,0.04323
2055,27,0.04322
2056,27,0.04321
2057,27,0.0432
2058,27,0.04322
2059,27,0.04324
2060,27,0.04326
2061,27,0.04328
2062,27,0.0433
2015,28,0.04975
2016,28,0.04975
2017,28,0.04975
2018,28,0.049640000000000004
2019,28,0.049530000000000005
2020,28,0.04942
2021,28,0.04931
2022,28,0.0492
2023,28,0.04933
2024,28,0.04946
2025,28,0.04959
2026,28,0.04972
2027,28,0.04985
2028,28,0.04983
2029,28,0.04981
2030,28,0.04979
2031,28,0.04977
2032,28,0.04975
2033,28,0.04981
2034,28,0.04987
2035,28,0.04993
2036,28,0.04999
2037,28,0.05005
2038,28,0.05015
2039,28,0.050249999999999996
2040,28,0.05035
2041,28,0.050449999999999995
2042,28,0.05055
2043,28,0.05049
2044,28,0.05043
2045,28,0.05037
2046,28,0.05031
2047,28,0.05025
2048,28,0.050230000000000004
2049,28,0.050210000000000005
2050,28,0.05019
2051,28,0.05017
2052,28,0.05015
2053,28,0.05014
2054,28,0.05013
2055,28,0.05012
2056,28,0.05011
2057,28,0.0501
2058,28,0.05011
2059,28,0.05012
2060,28,0.05013
2061,28,0.05014
2062,28,0.05015
2015,29,0.05385
2016,29,0.05385
2017,29,0.05385
2018,29,0.054040000000000005
2019,29,0.05423
2020,29,0.05442
2021,29,0.05461
2022,29,0.0548
2023,29,0.05472
2024,29,0.05464
2025,29,0.05456
2026,29,0.05448
2027,29,0.0544
2028,29,0.05454
2029,29,0.05468
2030,29,0.05482
2031,29,0.05496
2032,29,0.0551
2033,29,0.05496
2034,29,0.05482
2035,29,0.05468
2036,29,0.05454
2037,29,0.0544
2038,29,0.05445
2039,29,0.0545
2040,29,0.054549999999999994
2041,29,0.054599999999999996
2042,29,0.05465
2043,29,0.05477
2044,29,0.05489
2045,29,0.055009999999999996
2046,29,0.05513
2047,29,0.05525
2048,29,0.05523
2049,29,0.05521
2050,29,0.055189999999999996
2051,29,0.05517
2052,29,0.05515
2053,29,0.05513
2054,29,0.05511
2055,29,0.05509
2056,29,0.05507
2057,29,0.05505
2058,29,0.05507
2059,29,0.05509
2060,29,0.05511
2061,29,0.05513
2062,29,0.05515
2015,30,0.05495
2016,30,0.05495
2017,30,0.05495
2018,30,0.05518
2019,30,0.05541
2020,30,0.055639999999999995
2021,30,0.055869999999999996
2022,30,0.0561
2023,30,0.056139999999999995
2024,30,0.05618
2025,30,0.05622
2026,30,0.056260000000000004
2027,30,0.0563
2028,30,0.05637
2029,30,0.056440000000000004
2030,30,0.05651
2031,30,0.05658
2032,30,0.05665
2033,30,0.056639999999999996
2034,30,0.05663
2035,30,0.05662
2036,30,0.05661
2037,30,0.0566
2038,30,0.05674
2039,30,0.05688
2040,30,0.057019999999999994
2041,30,0.057159999999999996
2042,30,0.0573
2043,30,0.05729
2044,30,0.05728
2045,30,0.05727
2046,30,0.05726
2047,30,0.05725
2048,30,0.05725
2049,30,0.05725
2050,30,0.05725
2051,30,0.05725
2052,30,0.05725
2053,30,0.05722
2054,30,0.05719
2055,30,0.05716
2056,30,0.05713
2057,30,0.0571
2058,30,0.05712
2059,30,0.057139999999999996
2060,30,0.05716
2061,30,0.05718
2062,30,0.0572
2015,31,0.0547
2016,31,0.0547
2017,31,0.0547
2018,31,0.05497
2019,31,0.05524
2020,31,0.055510000000000004
2021,31,0.05578
2022,31,0.05605
2023,31,0.05614
2024,31,0.05623
2025,31,0.05632
2026,31,0.05641
2027,31,0.0565
2028,31,0.0565
2029,31,0.0565
2030,31,0.0565
2031,31,0.0565
2032,31,0.0565
2033,31,0.05648
2034,31,0.05646
2035,31,0.05644
2036,31,0.05642
2037,31,0.0564
2038,31,0.056369999999999996
2039,31,0.05634
2040,31,0.05631
2041,31,0.056280000000000004
2042,31,0.05625
2043,31,0.05613
2044,31,0.05601
2045,31,0.05589
2046,31,0.05577
2047,31,0.05565
2048,31,0.0559
2049,31,0.05615
2050,31,0.0564
2051,31,0.05665
2052,31,0.0569
2053,31,0.05687
2054,31,0.05684
2055,31,0.05681
2056,31,0.056780000000000004
2057,31,0.05675
2058,31,0.056760000000000005
2059,31,0.05677
2060,31,0.056780000000000004
2061,31,0.05679
2062,31,0.0568
2015,32,0.0516
2016,32,0.0516
2017,32,0.0516
2018,32,0.05187
2019,32,0.05214
2020,32,0.05241
2021,32,0.05268
2022,32,0.05295
2023,32,0.052989999999999995
2024,32,0.05303
2025,32,0.05307
2026,32,0.053110000000000004
2027,32,0.05315
2028,32,0.05319
2029,32,0.05323
2030,32,0.053270000000000005
2031,32,0.05331
2032,32,0.05335
2033,32,0.05353
2034,32,0.05371
2035,32,0.05389
2036,32,0.05407
2037,32,0.05425
2038,32,0.05416
2039,32,0.05407
2040,32,0.05398
2041,32,0.05389
2042,32,0.0538
2043,32,0.05388
2044,32,0.05396
2045,32,0.05404
2046,32,0.05412
2047,32,0.0542
2048,32,0.054189999999999995
2049,32,0.05418
2050,32,0.054169999999999996
2051,32,0.05416
2052,32,0.05415
2053,32,0.05413
2054,32,0.05411
2055,32,0.05409
2056,32,0.05407
2057,32,0.05405
2058,32,0.05405
2059,32,0.05405
2060,32,0.05405
2061,32,0.05405
2062,32,0.05405
2015,33,0.0473
2016,33,0.0473
2017,33,0.0473
2018,33,0.04738
2019,33,0.04746
2020,33,0.04754
2021,33,0.04762
2022,33,0.0477
2023,33,0.04775
2024,33,0.0478
2025,33,0.04785
2026,33,0.0479
2027,33,0.04795
2028,33,0.04808
2029,33,0.048209999999999996
2030,33,0.04834
2031,33,0.04847
2032,33,0.0486
2033,33,0.04858
2034,33,0.04856
2035,33,0.04854
2036,33,0.04852
2037,33,0.0485
2038,33,0.04856
2039,33,0.048620000000000003
2040,33,0.04868
2041,33,0.048740000000000006
2042,33,0.0488
2043,33,0.04891
2044,33,0.04902
2045,33,0.04913
2046,33,0.04924
2047,33,0.04935
2048,33,0.0493
2049,33,0.049249999999999995
2050,33,0.0492
2051,33,0.04915
2052,33,0.0491
2053,33,0.049069999999999996
2054,33,0.04904
2055,33,0.04901
2056,33,0.04898
2057,33,0.04895
2058,33,0.04895
2059,33,0.04895
2060,33,0.04895
2061,33,0.04895
2062,33,0.04895
2015,34,0.0433
2016,34,0.0433
2017,34,0.0433
2018,34,0.042929999999999996
2019,34,0.04256
2020,34,0.04219
2021,34,0.04182
2022,34,0.04145
2023,34,0.04168
2024,34,0.04191
2025,34,0.04214
2026,34,0.04237
2027,34,0.0426
2028,34,0.04253
2029,34,0.04246
2030,34,0.042390000000000004
2031,34,0.04232
2032,34,0.04225
2033,34,0.04236
2034,34,0.04247
2035,34,0.04258
2036,34,0.04269
2037,34,0.0428
2038,34,0.042699999999999995
2039,34,0.0426
2040,34,0.042499999999999996
2041,34,0.0424
2042,34,0.0423
2043,34,0.042339999999999996
2044,34,0.04238
2045,34,0.04242
2046,34,0.042460000000000005
2047,34,0.0425
2048,34,0.0426
2049,34,0.0427
2050,34,0.0428
2051,34,0.0429
2052,34,0.043
2053,34,0.04299
2054,34,0.04298
2055,34,0.04297
2056,34,0.04296
2057,34,0.04295
2058,34,0.04294
2059,34,0.04293
2060,34,0.04292
2061,34,0.042910000000000004
2062,34,0.0429
2015,35,0.0385
2016,35,0.0385
2017,35,0.0385
2018,35,0.03786
2019,35,0.037219999999999996
2020,35,0.03658
2021,35,0.03594
2022,35,0.0353
2023,35,0.03542
2024,35,0.03554
2025,35,0.03566
2026,35,0.03578
2027,35,0.0359
2028,35,0.03592
2029,35,0.03594
2030,35,0.03596
2031,35,0.03598
2032,35,0.036
2033,35,0.03605
2034,35,0.0361
2035,35,0.036149999999999995
2036,35,0.036199999999999996
2037,35,0.03625
2038,35,0.03625
2039,35,0.03625
2040,35,0.03625
2041,35,0.03625
2042,35,0.03625
2043,35,0.03634
2044,35,0.03643
2045,35,0.036520000000000004
2046,35,0.036610000000000004
2047,35,0.0367
2048,35,0.0367
2049,35,0.0367
2050,35,0.0367
2051,35,0.0367
2052,35,0.0367
2053,35,0.03669
2054,35,0.036680000000000004
2055,35,0.03667
2056,35,0.036660000000000005
2057,35,0.03665
2058,35,0.03664
2059,35,0.03663
2060,35,0.03662
2061,35,0.036610000000000004
2062,35,0.0366
2015,36,0.0329
2016,36,0.0329
2017,36,0.0329
2018,36,0.0324
2019,36,0.0319
2020,36,0.0314
2021,36,0.0309
2022,36,0.0304
2023,36,0.03036
2024,36,0.03032
2025,36,0.03028
2026,36,0.03024
2027,36,0.0302
2028,36,0.03024
2029,36,0.03028
2030,36,0.03032
2031,36,0.03036
2032,36,0.0304
2033,36,0.0304
2034,36,0.0304
2035,36,0.0304
2036,36,0.0304
2037,36,0.0304
2038,36,0.0304
2039,36,0.0304
2040,36,0.0304
2041,36,0.0304
2042,36,0.0304
2043,36,0.03038
2044,36,0.03036
2045,36,0.03034
2046,36,0.03032
2047,36,0.0303
2048,36,0.03024
2049,36,0.03018
2050,36,0.03012
2051,36,0.03006
2052,36,0.03
2053,36,0.03014
2054,36,0.03028
2055,36,0.03042
2056,36,0.03056
2057,36,0.0307
2058,36,0.030680000000000002
2059,36,0.03066
2060,36,0.03064
2061,36,0.030619999999999998
2062,36,0.0306
2015,37,0.027
2016,37,0.027
2017,37,0.027
2018,37,0.02666
2019,37,0.02632
2020,37,0.02598
2021,37,0.02564
2022,37,0.0253
2023,37,0.02518
2024,37,0.02506
2025,37,0.02494
2026,37,0.02482
2027,37,0.0247
2028,37,0.0247
2029,37,0.0247
2030,37,0.0247
2031,37,0.0247
2032,37,0.0247
2033,37,0.02472
2034,37,0.024739999999999998
2035,37,0.02476
2036,37,0.02478
2037,37,0.0248
2038,37,0.02489
2039,37,0.02498
2040,37,0.025070000000000002
2041,37,0.025160000000000002
2042,37,0.02525
2043,37,0.02521
2044,37,0.02517
2045,37,0.02513
2046,37,0.02509
2047,37,0.02505
2048,37,0.025079999999999998
2049,37,0.02511
2050,37,0.02514
2051,37,0.02517
2052,37,0.0252
2053,37,0.0252
2054,37,0.0252
2055,37,0.0252
2056,37,0.0252
2057,37,0.0252
2058,37,0.02519
2059,37,0.02518
2060,37,0.025169999999999998
2061,37,0.02516
2062,37,0.02515
2015,38,0.02215
2016,38,0.02215
2017,38,0.02215
2018,38,0.0218
2019,38,0.02145
2020,38,0.0211
2021,38,0.02075
2022,38,0.0204
2023,38,0.02033
2024,38,0.02026
2025,38,0.02019
2026,38,0.02012
2027,38,0.02005
2028,38,0.02004
2029,38,0.02003
2030,38,0.02002
2031,38,0.02001
2032,38,0.02
2033,38,0.02006
2034,38,0.02012
2035,38,0.02018
2036,38,0.020239999999999998
2037,38,0.0203
2038,38,0.02029
2039,38,0.02028
2040,38,0.02027
2041,38,0.02026
2042,38,0.02025
2043,38,0.02028
2044,38,0.02031
2045,38,0.02034
2046,38,0.020370000000000003
2047,38,0.0204
2048,38,0.02044
2049,38,0.02048
2050,38,0.02052
2051,38,0.020560000000000002
2052,38,0.0206
2053,38,0.02058
2054,38,0.020560000000000002
2055,38,0.02054
2056,38,0.02052
2057,38,0.0205
2058,38,0.02049
2059,38,0.02048
2060,38,0.02047
2061,38,0.02046
2062,38,0.02045
2015,39,0.0176
2016,39,0.0176
2017,39,0.0176
2018,39,0.01734
2019,39,0.01708
2020,39,0.016819999999999998
2021,39,0.01656
2022,39,0.0163
2023,39,0.016229999999999998
2024,39,0.016159999999999997
2025,39,0.01609
2026,39,0.01602
2027,39,0.01595
2028,39,0.016
2029,39,0.01605
2030,39,0.0161
2031,39,0.016149999999999998
2032,39,0.0162
2033,39,0.01618
2034,39,0.01616
2035,39,0.016139999999999998
2036,39,0.01612
2037,39,0.0161
2038,39,0.016139999999999998
2039,39,0.01618
2040,39,0.01622
2041,39,0.01626
2042,39,0.0163
2043,39,0.01626
2044,39,0.01622
2045,39,0.01618
2046,39,0.016139999999999998
2047,39,0.0161
2048,39,0.01612
2049,39,0.016139999999999998
2050,39,0.01616
2051,39,0.01618
2052,39,0.0162
2053,39,0.016229999999999998
2054,39,0.01626
2055,39,0.01629
2056,39,0.01632
2057,39,0.01635
2058,39,0.01635
2059,39,0.01635
2060,39,0.01635
2061,39,0.01635
2062,39,0.01635
2015,40,0.0136
2016,40,0.0136
2017,40,0.0136
2018,40,0.013399999999999999
2019,40,0.0132
2020,40,0.013
2021,40,0.0128
2022,40,0.0126
2023,40,0.01256
2024,40,0.01252
2025,40,0.01248
2026,40,0.01244
2027,40,0.0124
2028,40,0.01242
2029,40,0.01244
2030,40,0.01246
2031,40,0.01248
2032,40,0.0125
2033,40,0.0125
2034,40,0.0125
2035,40,0.0125
2036,40,0.0125
2037,40,0.0125
2038,40,0.01252
2039,40,0.01254
2040,40,0.01256
2041,40,0.012580000000000001
2042,40,0.0126
2043,40,0.0126
2044,40,0.0126
2045,40,0.0126
2046,40,0.0126
2047,40,0.0126
2048,40,0.01263
2049,40,0.01266
2050,40,0.01269
2051,40,0.012719999999999999
2052,40,0.01275
2053,40,0.01275
2054,40,0.01275
2055,40,0.01275
2056,40,0.01275
2057,40,0.01275
2058,40,0.01275
2059,40,0.01275
2060,40,0.01275
2061,40,0.01275
2062,40,0.01275
2015,41,0.00945
2016,41,0.00945
2017,41,0.00945
2018,41,0.00937
2019,41,0.00929
2020,41,0.009210000000000001
2021,41,0.009130000000000001
2022,41,0.00905
2023,41,0.009040000000000001
2024,41,0.00903
2025,41,0.00902
2026,41,0.009009999999999999
2027,41,0.009
2028,41,0.00902
2029,41,0.00904
2030,41,0.00906
2031,41,0.00908
2032,41,0.0091
2033,41,0.00911
2034,41,0.00912
2035,41,0.009130000000000001
2036,41,0.00914
2037,41,0.00915
2038,41,0.00915
2039,41,0.00915
2040,41,0.00915
2041,41,0.00915
2042,41,0.00915
2043,41,0.00915
2044,41,0.00915
2045,41,0.00915
2046,41,0.00915
2047,41,0.00915
2048,41,0.00914
2049,41,0.009130000000000001
2050,41,0.00912
2051,41,0.00911
2052,41,0.0091
2053,41,0.00908
2054,41,0.00906
2055,41,0.00904
2056,41,0.00902
2057,41,0.009
2058,41,0.00904
2059,41,0.00908
2060,41,0.00912
2061,41,0.00916
2062,41,0.0092
2015,42,0.0059
2016,42,0.0059
2017,42,0.0059
2018,42,0.0059
2019,42,0.0059
2020,42,0.0059
2021,42,0.0059
2022,42,0.0059
2023,42,0.00586
2024,42,0.00582
2025,42,0.00578
2026,42,0.00574
2027,42,0.0057
2028,42,0.00575
2029,42,0.0058000000000000005
2030,42,0.00585
2031,42,0.005900000000000001
2032,42,0.00595
2033,42,0.00594
2034,42,0.00593
2035,42,0.00592
2036,42,0.00591
2037,42,0.0059
2038,42,0.00591
2039,42,0.00592
2040,42,0.00593
2041,42,0.00594
2042,42,0.00595
2043,42,0.0059700000000000005
2044,42,0.0059900000000000005
2045,42,0.00601
2046,42,0.00603
2047,42,0.00605
2048,42,0.00604
2049,42,0.00603
2050,42,0.00602
2051,42,0.00601
2052,42,0.006
2053,42,0.00601
2054,42,0.00602
2055,42,0.00603
2056,42,0.00604
2057,42,0.00605
2058,42,0.00605
2059,42,0.00605
2060,42,0.00605
2061,42,0.00605
2062,42,0.00605
2015,43,0.0031
2016,43,0.0031
